epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,806.357,0.63686,0.53072,0.95868,0.81538,0.78157,0.82434,0.66026,0.75615,0.79996,1.07662,0.000399051,0.000399051,0.000399051
87,815.731,0.59793,0.57347,0.95493,0.79018,0.80576,0.83125,0.66277,0.76453,0.74603,1.0765,0.000393052,0.000393052,0.000393052
88,825.099,0.58593,0.53574,0.94672,0.83598,0.81503,0.84763,0.67058,0.75361,0.69621,1.05534,0.000387052,0.000387052,0.000387052
89,834.472,0.60141,0.54379,0.94087,0.82772,0.78713,0.83511,0.65833,0.76488,0.78288,1.07406,0.000381053,0.000381053,0.000381053
90,843.735,0.57406,0.49924,0.92289,0.78162,0.78965,0.82961,0.65585,0.76225,0.78109,1.07876,0.000375053,0.000375053,0.000375053
91,853.015,0.56912,0.49953,0.92519,0.79551,0.78686,0.81562,0.64525,0.78078,0.7467,1.07709,0.000369054,0.000369054,0.000369054
92,862.28,0.58866,0.51327,0.93199,0.80444,0.79464,0.82927,0.66189,0.76022,0.73963,1.08333,0.000363055,0.000363055,0.000363055
93,871.539,0.60668,0.51247,0.9383,0.85617,0.79393,0.84246,0.66902,0.75449,0.70605,1.08113,0.000357055,0.000357055,0.000357055
94,880.807,0.60751,0.53696,0.95104,0.83039,0.81704,0.85085,0.68478,0.73004,0.70061,1.05962,0.000351056,0.000351056,0.000351056
95,890.186,0.58504,0.49361,0.93133,0.8196,0.80795,0.8421,0.66569,0.76299,0.77254,1.08013,0.000345056,0.000345056,0.000345056
96,899.46,0.58627,0.50092,0.94238,0.84429,0.79051,0.83481,0.6539,0.79853,0.7551,1.07979,0.000339057,0.000339057,0.000339057
97,908.73,0.57285,0.50139,0.9474,0.86078,0.81485,0.85588,0.68443,0.74009,0.66932,1.05738,0.000333058,0.000333058,0.000333058
98,917.978,0.5432,0.49487,0.91662,0.81265,0.82181,0.85398,0.68479,0.73974,0.70298,1.05433,0.000327058,0.000327058,0.000327058
99,927.359,0.56153,0.47506,0.93355,0.83794,0.81349,0.86234,0.69409,0.71204,0.71082,1.05494,0.000321059,0.000321059,0.000321059
100,936.704,0.57041,0.48748,0.93049,0.81975,0.80939,0.83867,0.66573,0.75952,0.72874,1.08258,0.000315059,0.000315059,0.000315059
101,945.957,0.57222,0.48267,0.93315,0.8507,0.79881,0.85366,0.67953,0.75026,0.67704,1.07201,0.00030906,0.00030906,0.00030906
102,955.205,0.56861,0.46683,0.93387,0.83608,0.80493,0.85231,0.68213,0.73758,0.70705,1.057,0.000303061,0.000303061,0.000303061
103,964.477,0.5431,0.45815,0.91353,0.85218,0.78938,0.85192,0.68084,0.74126,0.68031,1.06184,0.000297061,0.000297061,0.000297061
104,973.73,0.54964,0.48913,0.92148,0.89698,0.7716,0.86666,0.69642,0.72175,0.69663,1.05199,0.000291062,0.000291062,0.000291062
105,983.087,0.53996,0.44398,0.92252,0.88307,0.80934,0.8668,0.69658,0.72101,0.69265,1.05126,0.000285062,0.000285062,0.000285062
